"Daily Weather Observations for Aireys Inlet, Victoria for December 2017"
"Prepared at 16:01 GMT on Friday  2 February 2018   IDCJDW3001.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Aireys Inlet {station 090180}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,19.2,21.6,12.2,,,SW,61,12:03,20.2,93,,WNW,19,,16.3,95,,SW,30,
,2017-12-2,13.6,14.4,2.6,,,SW,72,13:20,14.4,87,,SSW,39,,13.4,96,,SW,46,
,2017-12-3,10.7,17.5,12.2,,,SW,72,00:30,11.1,85,,SSW,31,,15.2,63,,SSW,33,
,2017-12-4,10.7,18.1,1.4,,,SW,48,01:29,13.8,69,,SSW,22,,15.5,68,,SSW,24,
,2017-12-5,11.2,18.4,1.6,,,ESE,33,10:28,16.6,79,,SSE,9,,17.6,72,,SE,15,
,2017-12-6,14.2,21.1,0,,,ESE,26,08:53,17.0,76,,ESE,15,,20.0,61,,S,11,
,2017-12-7,10.4,21.9,0,,,SSW,56,16:53,16.2,72,,NW,7,,18.6,66,,SSW,6,
,2017-12-8,9.4,19.8,2.8,,,W,44,16:19,15.0,64,,WSW,9,,18.6,58,,S,19,
,2017-12-9,13.1,22.4,0.8,,,W,50,13:17,16.3,75,,W,17,,21.8,51,,W,19,
,2017-12-10,12.6,22.2,0,,,SSW,35,18:35,15.6,76,,NW,2,,19.1,74,,SSW,11,
,2017-12-11,10.4,21.7,0,,,SSW,35,17:32,15.9,71,,WSW,9,,19.9,62,,SSW,19,
,2017-12-12,11.8,24.5,0,,,S,20,01:09,16.5,64,,E,7,,19.6,58,,SE,9,
,2017-12-13,11.6,39.0,0,,,W,57,13:04,24.4,54,,ENE,6,,36.4,13,,NNW,28,
,2017-12-14,18.1,24.0,0,,,WSW,50,17:39,19.2,71,,W,24,,22.1,55,,SSW,22,
,2017-12-15,10.0,22.9,0,,,SSW,26,15:01,18.5,63,,NE,4,,21.5,52,,SSE,11,
,2017-12-16,11.8,23.3,0,,,S,28,14:59,18.8,61,,S,6,,21.8,59,,S,13,
,2017-12-17,15.3,22.4,0,,,SE,28,12:15,17.3,76,,ESE,15,,20.9,60,,SSE,11,
,2017-12-18,14.5,27.9,0,,,ENE,20,14:13,18.8,87,,NNE,2,,24.4,66,,ENE,13,
,2017-12-19,18.5,36.1,0,,,WNW,76,12:22,26.2,46,,NW,15,,25.3,60,,SSW,17,
,2017-12-20,15.3,22.6,0,,,WSW,57,16:21,17.2,69,,WNW,9,,20.4,52,,WSW,24,
,2017-12-21,12.2,23.0,0.6,,,SW,33,18:43,15.3,72,,WNW,9,,21.4,53,,S,13,
,2017-12-22,12.9,23.5,0,,,S,22,14:57,17.8,61,,NW,7,,21.6,52,,SSE,9,
,2017-12-23,12.2,22.5,0,,,SW,35,22:49,17.4,73,,NW,7,,19.0,70,,S,9,
,2017-12-24,13.8,20.9,0,,,SSW,46,10:44,16.3,54,,SW,22,,19.4,45,,SSW,24,
,2017-12-25,13.8,21.6,0,,,S,39,23:03,15.5,68,,SSE,13,,19.7,54,,SSE,17,
,2017-12-26,14.7,24.4,0,,,SE,26,00:43,18.1,73,,ESE,13,,22.7,63,,SSE,13,
,2017-12-27,15.5,37.4,0,,,NNW,52,12:52,24.4,51,,N,24,,35.9,18,,NNW,20,
,2017-12-28,21.3,22.8,0,,,N,41,04:37,22.8,60,,WNW,9,,18.8,84,,SSW,17,
,2017-12-29,15.7,18.1,1.6,,,SW,26,16:28,16.4,91,, ,Calm,,17.6,91,,E,6,
,2017-12-30,13.0,20.6,1.0,,,W,56,12:25,15.1,92,,WNW,20,,17.8,53,,WSW,31,
,2017-12-31,10.0,22.2,0.2,,,W,37,19:01,14.8,70,,WNW,9,,20.7,56,,S,13,
